"Hour","Year","Month","Day","Minute","road_num","road_name","functional_road_class_desc","current_speed","free_flow_speed","speed_diff","current_travel_time","free_flow_travel_time","time_diff","creation_date.x","description","cause_of_incident","from_road","to_road","affected_roads","incident_category_desc","magnitude_of_delay_desc","length_in_meters","delay_in_seconds","incident_date","latitude","longitude","temperature","atmospheric_pressure","humidity","wind_speed","clouds","precipitation","current_luminosity","sunrise","sunset","creation_date.y"
18,2019,1,17,0,2,"Avenida Central","Local High Importance Road",5,18,13,927,257,670,"2019-01-17 18:05:01.000000","stationary traffic","","N101 (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Major",506,436,"2019-01-17 18:04:59.325000",41.5565147399902,-8.4173002243042,11,1021,71,4,20,0,"DARK","2019-01-17 07:56:48.000000","2019-01-17 17:31:29.000000","2019-01-17 18:04:59.000000"
18,2019,1,17,0,2,"Avenida Central","Local High Importance Road",5,18,13,927,257,670,"2019-01-17 18:05:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",291,377,"2019-01-17 18:04:59.325000",41.5517196655273,-8.42352676391602,11,1021,71,4,20,0,"DARK","2019-01-17 07:56:48.000000","2019-01-17 17:31:29.000000","2019-01-17 18:04:59.000000"
18,2019,1,17,20,2,"Avenida Central","Local High Importance Road",5,16,11,927,289,638,"2019-01-17 18:25:01.000000","stationary traffic","","Rua De Santa Margarida (Avenida Central)","N101 (Avenida Central)","","Jam","Major",452,283,"2019-01-17 18:24:59.495000",41.551628112793,-8.41792774200439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,17,20,2,"Avenida Central","Local High Importance Road",5,16,11,927,289,638,"2019-01-17 18:25:01.000000","stationary traffic","","N101 (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Major",498,276,"2019-01-17 18:24:59.495000",41.5565032958985,-8.41729927062988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,17,20,2,"Avenida Central","Local High Importance Road",5,16,11,927,289,638,"2019-01-17 18:25:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",291,286,"2019-01-17 18:24:59.495000",41.5517196655273,-8.42352676391602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,17,20,2,"Avenida Central","Local High Importance Road",5,16,11,927,289,638,"2019-01-17 18:25:01.000000","queuing traffic","","Avenida Central (N101)","N103 (N101)","N101","Jam","Moderate",678,183,"2019-01-17 18:24:59.495000",41.5516891479492,-8.42290115356445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,17,20,2,"Avenida Central","Local High Importance Road",5,16,11,927,289,638,"2019-01-17 18:25:01.000000","stationary traffic","","Avenida Central (Rua De Santa Margarida)","N101 (Rua De Santa Margarida)","","Jam","Major",615,198,"2019-01-17 18:24:59.495000",41.5518035888672,-8.41716194152832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,17,40,2,"Avenida Central","Local High Importance Road",8,18,10,579,257,322,"2019-01-17 18:45:01.000000","queuing traffic","","N101 (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Moderate",615,197,"2019-01-17 18:44:59.558000",41.5575256347656,-8.41755676269531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,17,40,2,"Avenida Central","Local High Importance Road",8,18,10,579,257,322,"2019-01-17 18:45:01.000000","queuing traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Moderate",291,183,"2019-01-17 18:44:59.558000",41.5517196655273,-8.42352676391602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,17,40,2,"Avenida Central","Local High Importance Road",8,18,10,579,257,322,"2019-01-17 18:45:01.000000","stationary traffic","","Avenida Central (N101)","N103 (N101)","N101","Jam","Major",678,492,"2019-01-17 18:44:59.558000",41.5516891479492,-8.42290115356445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
